Subject/Category,Course Name,Course code,Credit Hours,Course_level,Prerequisite,Corequisite,Offered,Description,Major Applicable to,Requirement_type
EDUC - Education,Theory and Pratice of Teaching ,EDUC 260,3,200,None,None,,,,
EDUC - Education,Teaching Reading in the Elementary Schools I,EDUC 310,3,300,None,None,,,,
EDUC - Education,Elementary Curriculum and Methods I ,EDUC 320,3,300,"EDUC 250, PSY 205, Admission to the elementary Teacher Education Program ",None,,,,
EDUC - Education,Elementary Curriculum and Methods ,EDUC 320BL,3,300,"EDUC 250, EDUC 260, PSY 205",None,,,,
EDUC - Education,Elementary Curriculum and Methods II,EDUC 330,3,300,"EDUC 250, PSY 205, Admission to the elementary Teacher Education Program ",None,,,,
EDUC - Education,Secondary Curriculum and Methods I ,EDUC 340,3,300,"EDUC 250, PSY 205, Admission to the Secondary Teacher Education Program ",None,,,,
EDUC - Education,Secondary Curriculum and Methods I,EDUC 340BL,3,300,"EDUC 250, EDUC 260, PSY 205",None,,,,
EDUC - Education,Secondary Curriculum and Methods II ,EDUC 350,3,300,"EDUC 250, PSY 205, Admission to the Secondary Teacher Education Program ",None,,,,
EDUC - Education,Teaching Reading in the Elementary Schools II,EDUC 360,3,300,None,None,,,,
EDUC - Education,Elementary Student Teaching ,EDUC 400,9,400,"EDUC 320, EDUC 330, Admission to the Elementary Teacher Education Program ",None,,,,
EDUC - Education,Elementary Student Teaching II,EDUC 400N,9,400,"EDUC 320, EDUC 330",None,,,,
EDUC - Education,Elementary Student Seminar ,EDUC 410,3,400,None,EDUC 400,,,,
EDUC - Education,Secondary Student Teaching ,EDUC 450,9,400,"EDUC 340, EDUC 350, Admission to the Secondary Teacher Education Program ",EDUC 460,,,,
EDUC - Education,Secondary Student Teaching II,EDUC 450N,9,400,"EDUC 340, EDUC 350",None,,,,
EDUC - Education,Secondary Student Seminar ,EDUC 460,3,400,None,EDUC 450,,,,
EDUC - Education,Secondary Education Seminar II,EDUC 460M,3,400,EDUC 340,None,,,,
ENG - English,Advanced Composition ,ENG 146,3,100,None,None,,,,
ENG - English,Writers' Workshop,ENG 150,3,100,None,None,,,,
ENG - English,Studies in Literature,ENG 180,3,100,None,None,,,,
ENG - English,Survey of American Literature,ENG 220,3,200,None,None,,,,
ENG - English,American Literature II - Figure ,ENG 222,3,200,ENG 220,None,,,,
ENG - English,American Literature II - Period,ENG 224,3,200,ENG 220,None,,,,
ENG - English,American Literature II - Genre,ENG 226,3,200,ENG 220,None,,,,
ENG - English,British Literature - Figure,ENG 232,3,200,ENG 230,None,,,,
ENG - English,British Literature - Period ,ENG 234,3,200,ENG 230,None,,,,
ENG - English,British Literature - Genre ,ENG 236,3,200,ENG 230,None,,,,
ENG - English,Women and Literature ,ENG 240,3,200,None,None,,,,
ENG - English,Honors Women and Literature ,ENG 240F,3,200,CORE 110,None,,,,
ENG - English,Shakespeare,ENG 265,3,200,None,None,,,,
ENG - English,African American Literature to 1919,ENG 275,3,200,None,None,,,,
ENG - English,The Harlem Renaissance to the Present,ENG 276,3,200,None,None,,,,
ENG - English,Seminar ,ENG 280,3,200,None,None,,,,
ENG - English,World Literature ,ENG 290,3,200,"CORE 150, CORE 160",None,,,,
ENG - English,Survey of British Literature ,ENG 330,3,300,None,None,,,,
ENG - English,Biritish Literature II - Figure ,ENG 332,3,300,ENG 330,None,,,,
ENG - English,British Literature II - Period,ENG 334,3,300,ENG 330,None,,,,
ENG - English,British Literature II - Genre,ENG 336,3,300,ENG 330,None,,,,
ENG - English,Senior Seminar,ENG 480,3,400,None,None,,,,
FIN - Finance,Financial Statement Analysis,FIN 310,3,300,ACC 240,None,,,,
FIN - Finance,Business Finance,FIN 320,3,300,"ACC 240, BAD 260, ECON 230",None,,,,
FIN - Finance,Corporate Financial Management,FIN 330,3,300,FIN 320,None,,,,
FIN - Finance,Financial Markets,FIN 350,3,300,"ECON 230, ECON 240, FIN 320",None,,,,
FIN - Finance,Financial Markets,FIN 350A,3,300,"ECON 230, ECON 240, ECON 300",None,,,,
FIN - Finance,Futures and Options Market,FIN 350B,3,300,"ECON 300, FIN 350A",None,,,,
FIN - Finance,Enterprise Risk Management,FIN 360,3,300,None,None,,,,
